,Statement Description
0,knowledge of NIST guidelines
1, understanding of password management practices
2,knowledge of cybersecurity
3, understanding of password strength
4, familiarity with password best practices
5,Knowledge of data protection concepts
6, Understanding of encryption techniques
7, Awareness of data security threats
8,cryptography standards
9, key strength in encryption
10,knowledge of cybersecurity threats
11, understanding of social engineering techniques
12,IPSec knowledge
13, Security Association (SA) concept
14, Security Parameter Index (SPI)
15, IPSec transform algorithms
16,knowledge of network security components
17, understanding of access control mechanisms
18,knowledge of security structures
19, understanding of architectural safety features
20,security measures for physical access control
21, barriers and deterrents in security
22, parking lot security
23,Risk management concepts
24, Cybersecurity principles
25, Threat assessment
26, Security control strategies
27, Resource allocation in cybersecurity
28,cloud computing security
29, server security
30, encryption
31, SQL databases
32, operational costs
33, physical data security
34,IPv6 addressing
35, Loopback address concept
36,Cryptography
37, Binary operations
38, Stream ciphers
39,Contract law basics
40, Understanding of contract formation
41, Knowledge of contractual communications
42,Data privacy techniques
43, Privacy preserving data sharing methods
44,Job rotation principles
45, Security best practices
46, Operational efficiency
47, Staff training
48, Risk management
49,Knowledge of cryptographic protocols
50, Understanding of symmetric encryption
51, Awareness of password transmission security
52, Familiarity with hash functions
53,knowledge of number theory
54, familiarity with ancient Greek mathematical methods
55, understanding of prime numbers
56, awareness of computational algorithms
57,Cybersecurity fundamentals
58, CIA triad concepts
59,knowledge of terrorist motivations
60, understanding of global politics
61, familiarity with western cultural and economic influence
62,Understanding of security principles
63, Knowledge of access control
64, Familiarity with security best practices
65,knowledge of rotor machines
66, understanding of substitution ciphers
67, familiarity with rotor rotation mechanisms
68,Understanding of privacy policies
69, Knowledge of potential unintended consequences
70, Awareness of consumer/provider rights and responsibilities
71,knowledge of security practices
72, understanding of default security configurations
73, awareness of security configuration changes
74,Post quantum cryptography
75, Learning with errors problem
76, NTRU cryptosystem
77, Ring LWE scheme
78,Business continuity management
79, Understanding of system downtime impacts
80,Linux/UNIX file permissions
81, chown command function
82, usermod command function
83, cacls command function
84, chmod command function
85,nbtstat command functionality
86, network troubleshooting
87,Authentication methods
88, Security concepts
89, Two factor authentication components
90,application control policies
91, blacklisting
92, whitelisting
93, software deployment
94,knowledge of encryption techniques
95, understanding of transposition cipher
96,Understanding of security basics
97, Organizational security landscape
98, Minimum security standards
99,Understanding of cloud computing models
100, Knowledge of PaaS
101, IaaS
102, and SaaS definitions
103,CISSP knowledge
104, Security Awareness Concepts
105, Incident Response
106, Disaster Recovery
107, Social Engineering Techniques
108, Due Care and Diligence
109, Privilege Escalation
110,knowledge of medical privacy threats
111, understanding of data security
112, awareness of cybersecurity risks
113, familiarity with insider threats
114,knowledge of historical codebooks and machines used during World War II
115, familiarity with Japanese codebook names
116, understanding of cryptographic machines
117,PGP encryption
118, Symmetric encryption algorithms
119, Asymmetric encryption algorithms
120, Hash functions
121,Understanding of application systems
122, Knowledge of data management
123, Awareness of data consistency concepts
124,network architecture concepts
125, attack life cycle phases
126, security monitoring techniques
127,Biba security model
128, Security triad
129,knowledge of computer room infrastructure
130, understanding of distributed computing environments
131,virus scanning
132, antivirus software functionality
133, malware detection techniques
134,cybersecurity concepts
135, vulnerability reporting
136, reward systems in security
137,Understanding of different types of cyber attacks
138, Knowledge of motivations behind cyber attacks
139, Awareness of hacktivism and its objectives
140,vulnerability management
141, security practices
142, remediation processes
143,continuity planning
144, strategy development
145, risk management
146, business continuity
147,knowledge of TCP/IP protocols
148, understanding of IPv4 and IPv6
149, familiarity with IPsec protocols
150,knowledge of hash functions
151, understanding of probability theory
152, familiarity with cryptographic concepts
153,Electronic warfare
154, Electromagnetic spectrum
155, Communications security
156,network security
157, port scanning
158, enumeration techniques
159,Knowledge of cryptographic attacks
160, Understanding of network protocols and traffic
161, Awareness of switch behavior under MAC address manipulation
162,STRIDE model
163, Information security
164,Crime Prevention Through Environmental Design
165,knowledge of cybersecurity
166, understanding of honeypots
167, incident investigation processes
